iter	RMSE
0	15.00567675
1	14.66007517
2	14.31574398
3	13.96281382
4	13.64745773
5	13.31837601
6	12.99943727
7	12.69763189
8	12.38352522
9	12.11657746
10	11.85616243
11	11.61874844
12	11.36236578
13	11.11673815
14	10.89018578
15	10.64529402
16	10.45737205
17	10.25301202
18	10.04017918
19	9.829786018
20	9.642818806
21	9.472037544
22	9.309699462
23	9.128639972
24	8.984363898
25	8.823422082
26	8.667138399
27	8.518968801
28	8.37724822
29	8.250810518
30	8.133487188
31	8.013822595
32	7.909735019
33	7.803748616
34	7.703344673
35	7.618478459
36	7.518903042
37	7.427403413
38	7.345494997
39	7.26906975
40	7.176869454
41	7.114433728
42	7.041985483
43	6.969781403
44	6.89002249
45	6.817274051
46	6.748642377
47	6.689843215
48	6.627953447
49	6.578442184
50	6.534401673
51	6.476827973
52	6.424464278
53	6.374157847
54	6.323221207
55	6.278105625
56	6.230827478
57	6.192564007
58	6.146386721
59	6.103069837
60	6.065238416
61	6.027226823
62	5.987921143
63	5.963382328
64	5.928061833
65	5.902941822
66	5.876377871
67	5.846602683
68	5.824446031
69	5.798761749
70	5.777096551
71	5.749440168
72	5.722556857
73	5.694304468
74	5.674412538
75	5.64951823
76	5.625586518
77	5.603206228
78	5.582329839
79	5.562807932
80	5.543286034
81	5.529404358
82	5.509036759
83	5.497267424
84	5.483965004
85	5.463838213
86	5.449269028
87	5.43624063
88	5.425489334
89	5.415562309
90	5.409524233
91	5.397290691
92	5.384135467
93	5.372105181
94	5.362386017
95	5.349067106
96	5.337486713
97	5.322932968
98	5.315088048
99	5.30674906
100	5.295809365
101	5.287659729
102	5.275748972
103	5.267392346
104	5.257647836
105	5.24935122
106	5.240552174
107	5.233170548
108	5.228446222
109	5.217544091
110	5.209862935
111	5.202274275
112	5.19385701
113	5.18755915
114	5.179997071
115	5.175639618
116	5.169593085
117	5.165349347
118	5.157053496
119	5.150898787
120	5.143812513
121	5.138469718
122	5.131806199
123	5.124204806
124	5.123561581
125	5.119123688
126	5.112264871
127	5.110655489
128	5.107082374
129	5.102665753
130	5.100882587
131	5.097879521
132	5.09323088
133	5.086980965
134	5.080895702
135	5.074343664
136	5.068912509
137	5.061457538
138	5.053840663
139	5.050291593
140	5.044899243
141	5.040153488
142	5.037620014
143	5.033175473
144	5.029364179
145	5.024106045
146	5.02000076
147	5.017812664
148	5.011304728
149	5.005667847
150	5.001260465
151	4.99666641
152	4.990107486
153	4.985988228
154	4.982082696
155	4.975951309
156	4.974308065
157	4.968485447
158	4.962388926
159	4.960715264
160	4.957114282
161	4.95437085
162	4.952097809
163	4.947351156
164	4.944106022
165	4.940763384
166	4.936476511
167	4.933673531
168	4.930298075
169	4.925967561
170	4.921485211
171	4.917411946
172	4.915627566
173	4.912640853
174	4.909008509
175	4.904760355
176	4.902036931
177	4.898262744
178	4.893315004
179	4.889111256
180	4.885436994
181	4.881708093
182	4.879231487
183	4.875253713
184	4.870407675
185	4.867695569
186	4.862708662
187	4.858178773
188	4.85530922
189	4.850721748
190	4.849729007
191	4.845786869
192	4.843371458
193	4.840682738
194	4.836234794
195	4.832906806
196	4.829521447
197	4.828474636
198	4.823373996
199	4.819428868
200	4.816790174
201	4.811962951
202	4.807122042
203	4.803265831
204	4.799947909
205	4.795136393
206	4.792678255
207	4.786049791
208	4.783862367
209	4.77944186
210	4.778000268
211	4.775605864
212	4.771309967
213	4.767898232
214	4.763803403
215	4.758940607
216	4.756535298
217	4.754868982
218	4.751166027
219	4.748614957
220	4.744883439
221	4.740842165
222	4.737246929
223	4.733247538
224	4.730835109
225	4.728447791
226	4.727309173
227	4.725695758
228	4.72248545
229	4.720189369
230	4.713479716
231	4.708055756
232	4.706427996
233	4.702547593
234	4.699964998
235	4.696491493
236	4.693670248
237	4.690669198
238	4.685920828
239	4.682719919
240	4.681406429
241	4.677620133
242	4.672222224
243	4.668416724
244	4.666233952
245	4.662288384
246	4.659581088
247	4.656685361
248	4.655062576
249	4.65291424
250	4.651238927
251	4.646926153
252	4.642946164
253	4.640404608
254	4.635524214
255	4.632016546
256	4.630255873
257	4.628803681
258	4.62670764
259	4.619663411
260	4.614760344
261	4.612582982
262	4.608822066
263	4.606056323
264	4.604105928
265	4.59973715
266	4.595535234
267	4.592227339
268	4.59061935
269	4.588753735
270	4.585588166
271	4.582466681
272	4.581175069
273	4.5781464
274	4.577269274
275	4.575016519
276	4.572216486
277	4.569527105
278	4.562762591
279	4.558842246
280	4.556473713
281	4.554071629
282	4.550702958
283	4.547153286
284	4.545509387
285	4.540026639
286	4.539127846
287	4.537202933
288	4.535414925
289	4.534825549
290	4.530486836
291	4.525299071
292	4.522464145
293	4.521070542
294	4.519565838
295	4.517468074
296	4.517039687
297	4.516642239
298	4.51461931
299	4.51277458
300	4.510772268
301	4.506395598
302	4.500123081
303	4.494709925
304	4.488722863
305	4.483819892
306	4.48103303
307	4.478647973
308	4.473856766
309	4.468946353
310	4.465928444
311	4.462701915
312	4.458018756
313	4.450096677
314	4.446779476
315	4.445012399
316	4.441175388
317	4.439705863
318	4.438247214
319	4.43516039
320	4.431257412
321	4.429329991
322	4.427224801
323	4.425184055
324	4.424976023
325	4.423075614
326	4.421929274
327	4.417185055
328	4.413544878
329	4.408452858
330	4.405847091
331	4.403325565
332	4.400922674
333	4.399808011
334	4.397436387
335	4.392240004
336	4.387817965
337	4.385342791
338	4.379138011
339	4.37526959
340	4.370205016
341	4.367672367
342	4.365748042
343	4.362785899
344	4.358181502
345	4.352529179
346	4.348779957
347	4.346370908
348	4.343643063
349	4.341930092
350	4.337364628
351	4.332284698
352	4.327899241
353	4.324680261
354	4.322710011
355	4.321202853
356	4.320891935
357	4.319513638
358	4.316186016
359	4.315909242
360	4.312530435
361	4.310329813
362	4.307146916
