iter	Passed	Remaining
0	0	748
1	1	627
2	1	605
3	2	593
4	3	621
5	3	626
6	4	616
7	4	613
8	5	589
9	5	586
10	6	584
11	7	584
12	7	580
13	8	576
14	8	579
15	9	575
16	9	573
17	10	575
18	11	579
19	11	582
20	12	603
21	13	602
22	14	615
23	15	623
24	16	636
25	17	640
26	17	644
27	18	649
28	19	650
29	20	658
30	21	671
31	22	676
32	23	690
33	24	685
34	24	682
35	25	681
36	26	677
37	26	672
38	27	668
39	27	661
40	28	657
41	28	654
42	29	652
43	29	648
44	30	646
45	31	646
46	31	645
47	32	641
48	32	639
49	33	636
50	34	635
51	34	633
52	35	631
53	35	629
54	36	627
55	37	625
56	37	623
57	38	621
58	38	619
59	39	616
60	40	616
61	40	613
62	41	612
63	41	608
64	42	607
65	42	606
66	43	603
67	43	601
68	44	599
69	45	598
70	45	596
71	46	594
72	46	593
73	47	592
74	48	592
75	48	591
76	49	590
77	49	589
78	50	588
79	50	586
80	51	584
81	52	583
82	52	581
83	53	581
84	53	580
85	54	579
86	55	578
87	55	577
88	56	576
89	56	575
90	57	572
91	58	572
92	58	572
93	59	572
94	60	571
95	60	570
96	61	569
97	61	568
98	62	567
99	62	566
100	63	566
101	64	565
102	64	564
103	65	564
104	66	563
105	66	563
106	67	563
107	68	563
108	68	561
109	69	561
110	70	561
111	70	560
112	71	560
113	72	559
114	72	558
115	73	557
116	73	556
117	74	556
118	75	556
119	75	557
120	76	556
121	77	556
122	77	555
123	78	554
124	78	551
125	79	550
126	80	550
127	80	548
128	81	547
129	81	546
130	81	543
131	82	543
132	83	542
133	83	541
134	84	541
135	85	541
136	85	541
137	86	540
138	87	540
139	87	539
140	88	538
141	89	538
142	89	537
143	90	536
144	90	535
145	91	534
146	92	534
147	92	533
148	93	532
149	93	531
150	94	530
151	94	529
152	95	528
153	95	527
154	96	528
155	97	527
156	98	527
157	98	526
158	99	526
159	100	525
160	100	524
161	101	523
162	101	523
163	102	523
164	103	521
165	103	521
166	104	519
167	104	518
168	105	517
169	105	516
170	106	514
171	106	513
172	107	513
173	107	512
174	108	510
175	108	509
176	109	508
177	109	507
178	110	506
179	111	506
180	111	505
181	112	506
182	113	507
183	114	507
184	115	508
185	116	508
186	116	508
187	117	507
188	118	507
189	118	507
190	119	506
191	120	505
192	120	504
193	121	504
194	122	504
195	122	503
196	123	503
197	124	502
198	124	501
199	125	501
200	125	500
201	126	499
202	127	499
203	127	498
204	128	497
205	128	496
206	129	495
207	129	494
208	130	494
209	131	493
210	131	492
211	132	491
212	133	491
213	133	490
214	134	490
215	134	489
216	135	488
217	135	487
218	136	486
219	137	485
220	137	484
221	138	484
222	138	483
223	139	483
224	140	482
225	140	482
226	141	481
